,id,name,summary,host_id,host_since,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,street,neighbourhood_cleansed,city,state,zipcode,smart_location,latitude,longitude,is_location_exact,property_type,room_type,accommodates,bed_type,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,first_review,last_review,instant_bookable,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,calculated_host_listings_count,reviews_per_month,review_scores_rating_new,review_scores_accuracy_new,review_scores_cleanliness_new,review_scores_checkin_new,review_scores_communication_new,review_scores_location_new,review_scores_value_new,reviews_per_month_category,price_range
1700,8596920,Conveniently located shared room,You'll love this spot! Conveniently located above the Georgia-Petworth Metro station which allows for easy access to anywhere in the city. Feel like a true local by staying here! -Apartment is shared with 3 other working professional roommates.,31255920,15/04/2015,f,1,t,t,"Quincy Street Northwest, Washington, DC 20011, United States","Brightwood Park, Crestwood, Petworth",Washington,DC,20011,"Washington, DC",38.93697713,-77.02406481,t,Apartment,Shared room,2,Couch,34,0,0,1,10,1,3,21,51,63,335,1,30/09/2015,30/09/2015,f,moderate,f,f,1,1,100,10,10,10,10,10,10,Medium,0000-0050
1701,2403657,"4 bdrm family home - Washington, DC",Quiet neighborhood by park 2 blocks from downtown bus line. Lots of street parking.  4 bedrooms and office. 2.5 bathrooms.  Huge master with spa en suite. Nursery and child's room.  Spacious back yard with deck and BBQ. Open concept main floor. ,5005658,07/02/2013,f,1,t,f,"18th Street Northwest, Washington, DC 20011, United States","Brightwood Park, Crestwood, Petworth",Washington,DC,20011,"Washington, DC",38.94244949,-77.04138222,t,House,Entire home/apt,6,Real Bed,200,0,0,1,0,21,30,0,0,0,275,0,0,0,f,flexible,f,f,1,0,0,0,0,0,0,0,0,None,0200-0250
1702,5319716,Home Theater Steam Shower Park Free,"Miles to: White House- just under 3; National Zoo- 1. Blocks to: Public pool- 2.; Rock Creek Park- 2. (RCP Horse Center 3 miles.) Bus stop to National Mall 100' away. Enjoy free museums, concerts, and art galleries- then relax in your private courtyard, steam shower, + home theater- free Wifi!",672624,06/06/2011,t,1,t,t,"Upshur Street Northwest, Washington, DC 20011, United States","Brightwood Park, Crestwood, Petworth",Washington,DC,20011,"Washington, DC",38.94322246,-77.03868659,t,Apartment,Entire home/apt,2,Real Bed,100,0,0,1,0,1,1125,9,31,61,334,44,16/02/2015,29/09/2015,f,moderate,f,f,1,5.74,98,10,10,10,10,9,10,High,0100-0125
1703,6285135,Cozy room in Beautiful Home,One cozy bedroom available in a beautiful three bedroom sunny and spacious home in Petworth. Walking distance to Yes Organic market and Safeway and Farmers Markets. We are a 9 minute walk to the Georgia Ave/Petworth Metro.,30419471,01/04/2015,f,1,t,t,"Georgia Avenue Northwest, Washington, DC 20011, United States","Brightwood Park, Crestwood, Petworth",Washington,DC,20011,"Washington, DC",38.94572477,-77.02518675,t,House,Private room,2,Real Bed,50,0,10,1,0,1,1125,0,0,0,124,2,13/07/2015,24/07/2015,f,flexible,f,f,1,0.72,100,10,10,10,10,10,10,Low,0050-0075
1704,6244078,Spacious two bedroom garden flat,"A delightful two bedroom apartment with own garden entrance, in a quiet and desirable neighbourhood 15 mins from the Whitehouse and downtown, and a ten minute bus ride to lively R St., P St. and Dupont Circles. Rock Creek Parkway is five blocks away.",32417175,02/05/2015,f,1,t,f,"16th Street Northwest, Washington, DC 20011, United States","Brightwood Park, Crestwood, Petworth",Washington,DC,20011,"Washington, DC",38.94225159,-77.03781678,t,Apartment,Entire home/apt,4,Real Bed,155,150,0,1,0,3,1125,3,13,43,133,7,20/05/2015,23/08/2015,f,strict,f,f,1,1.53,97,10,10,10,10,9,10,Medium,0150-0200
1705,145726,Luraloft / Entire Apt,N/A,705346,15/06/2011,t,2,t,t,"Illinois Ave, Washington, DC 20011, United States","Brightwood Park, Crestwood, Petworth",Washington,DC,20011,"Washington, DC",38.9493414,-77.02294517,t,Apartment,Entire home/apt,2,Real Bed,85,200,45,2,15,4,31,3,33,63,338,69,23/06/2011,21/09/2015,f,strict,t,t,2,1.32,98,10,10,10,10,8,10,Medium,0075-0100
1706,705901,NW DC Single Family Rowhouse-Luxury,N/A,3626877,20/09/2012,f,1,t,f,"Illinois Ave, Washington, DC 20011, United States","Brightwood Park, Crestwood, Petworth",Washington,DC,20011,"Washington, DC",38.93840776,-77.01745921,t,House,Private room,2,Real Bed,125,0,0,1,200,1,1125,30,60,90,365,4,25/06/2014,01/08/2015,f,flexible,f,f,1,0.26,100,10,10,10,10,9,10,Low,0125-0150
1707,6690251,room to stay in luxury apt building,"The apartment building is located right on top of the petworth metro station making easy travel to anywhere in DC. amenities include a gym grand rooftop that has grills provided, a game room and computer room.",27379691,07/02/2015,f,1,t,f,"Quincy Street Northwest, Washington, DC 20011, United States","Brightwood Park, Crestwood, Petworth",Washington,DC,20011,"Washington, DC",38.93701594,-77.02345301,t,Apartment,Private room,1,Real Bed,125,0,0,1,0,1,3,30,60,90,365,0,0,0,f,flexible,f,f,1,0,0,0,0,0,0,0,0,None,0125-0150
1708,223922,Private  Retreat. Apartment in DC ," Private English Basement apartment in the scenic, safe and upscale neighborhood of Rock Creek Park- the Best Kept Secret in DC--just a few miles from the White House. A  romantic retreat for couples, with (or without) children, pets and cars.",738459,24/06/2011,f,4,t,t,"Blagden Avenue Northwest, Washington, DC 20011, United States","Brightwood Park, Crestwood, Petworth",Washington,DC,20011,"Washington, DC",38.94362905,-77.04562297,t,House,Entire home/apt,4,Real Bed,109,0,25,2,25,1,1825,11,11,11,280,96,25/09/2011,16/09/2015,t,moderate,f,f,1,1.96,94,9,10,10,10,9,9,Medium,0100-0125
1709,7455058,"Ground Floor Hideaway, No. 2.","Ground floor hideaway in Grant Circle features the industrial finishes with all of the modern amenities. The apartment features a private room and bath (ensuite) for rent, as well as kitchen and laundry facilities. Central air is perhaps the most important thing in DC and we have that too!",2431022,21/05/2012,f,5,t,t,"Upshur St, Washington, DC 20011, United States","Brightwood Park, Crestwood, Petworth",Washington,DC,20011,"Washington, DC",38.94142248,-77.01796556,f,Apartment,Private room,2,Real Bed,52,0,0,1,0,1,1125,16,43,73,348,7,28/07/2015,26/09/2015,f,strict,f,f,5,3.09,87,10,8,9,8,7,8,Medium,0050-0075
1710,4423821,2Br/1.5 Ba apt ideal for Pope visit,"This 2BR/1.5 Ba apartment is located in the great Petworth neighborhood in DC. Its by both the Ft. Totten and Petworth metro stations, and has wifi, cable, a washer/dryer, and is fully furnished. It is located close to where the Pope is visiting",22964196,25/10/2014,f,1,t,f,"5th Street Northwest, Washington, DC 20011, United States","Brightwood Park, Crestwood, Petworth",Washington,DC,20011,"Washington, DC",38.95161686,-77.01988429,t,Apartment,Entire home/apt,2,Real Bed,250,0,0,1,0,1,1125,30,60,90,365,1,20/05/2015,20/05/2015,f,flexible,f,f,1,0.22,80,8,8,10,10,8,10,Low,0250-0350
